id,area,type,category,description,status,priority,progress,businessValueScore,roiProjection,costEstimate,maturityLevel_level,maturityLevel_score,maturityLevel_description,applicability_type,applicability_description,applicability_weight,implementationPhase,businessJustification,consequences_immediate,consequences_type,consequences_impact,assignee,dueDate,lastUpdated,cafPrinciple,cafPrinciple2,nisReference
SR-F25,System,Functional,Virtualization & Deployment,The system shall be compatible with SDN controllers and support programmable network segmentation.,Completed,Low,30,3.1,84,419276,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This virtualization & deployment supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Moderate,Security Team,13/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F26,System,Functional,Monitoring & Detection,"The system shall provide performance monitoring and reporting for each network segment, including bandwidth utilization, latency, and packet loss.",Not Started,High,15,3.2,79,40950,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Significant,Identity Team,11/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F27,System,Functional,Configuration & Change Management,The system shall provide a configuration validation tool to check segmentation rules for conflicts or security gaps before deployment.,Completed,Medium,51,1.5,84,60629,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This configuration & change management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Severe,Security Team,23/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F28,System,Functional,Integration Capabilities,The system shall support integration with threat intelligence feeds to dynamically update segmentation rules based on emerging threats.,Completed,Critical,89,1.9,241,54582,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Moderate,Identity Team,02/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F29,System,Functional,Compliance & Regulatory Management,The system shall maintain an up-to-date database of regulatory requirements and automatically flag potential compliance issues in the segmentation configuration.,Not Started,Low,51,3,203,388635,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance. Addresses NIS Regulation 10(2)(e) - Regular assessment.,Operational risk,Security,Minor,Identity Team,23/06/2025,06/06/2025,A1: Governance,A2: Risk management,NIS Regulation 10(2)(e) - Regular assessment
SR-F30,System,Functional,Performance & Scalability,The system shall provide capacity planning tools to forecast future segmentation needs based on current trends and planned network changes.,Under Review,Critical,94,3,184,229535,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Phase 1 (0-6 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Severe,Identity Team,16/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F31,System,Functional,Testing & Simulation,The system shall provide a sandboxed environment for testing segmentation changes before applying them to the production network.,Completed,Medium,71,2.6,157,254755,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This testing & simulation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Moderate,Identity Team,19/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F32,System,Functional,Monitoring & Detection,The system shall implement machine learning-based anomaly detection to identify unusual traffic patterns between network segments.,Completed,High,57,1.6,131,375620,Developing,2,Some processes defined,Essential,Critical for operations,1,Future (24+ months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Severe,Network Team,25/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F33,System,Functional,Monitoring & Detection / Auditability & Traceability,The system shall provide detailed logging and reporting of user activities related to segmentation configuration changes.,Not Started,High,29,2.6,77,120686,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This monitoring & detection / auditability & traceability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Moderate,Identity Team,19/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F34,System,Functional,Access Control & Authentication,"The system shall support implementation of Zero Trust principles within and between network segments, including continuous authentication and authorization.",On Hold,Medium,47,1.3,38,245367,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Future (24+ months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Severe,Identity Team,18/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F35,System,Functional,Edge & Modern Connectivity,The system shall support secure integration and segmentation of edge computing devices and gateways in OT environments.,Not Started,Critical,39,2.9,243,63342,Optimizing,5,Continuously improving,Future,Planned for future phases,0.6,Phase 3 (12-24 months),This edge & modern connectivity supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Significant,Operations Team,14/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F36,System,Functional,Edge & Modern Connectivity,The system shall provide capabilities to securely integrate and segment 5G-connected OT devices and networks.,In Progress,Medium,5,2.8,55,310349,Developing,2,Some processes defined,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This edge & modern connectivity supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Moderate,Network Team,01/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F37,System,Functional,Secure Data Flow,The system shall support implementation of cross-domain solutions for secure data transfer between network segments of different security classifications.,On Hold,Low,38,3.7,205,108551,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Future (24+ months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Severe,Network Team,25/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F38,System,Functional,Incident Response,"The system shall support deployment of deception technologies (e.g., honeypots) within network segments to detect and mislead potential attackers.",Under Review,Critical,18,1.7,226,247438,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This incident response supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Moderate,Identity Team,13/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F39,System,Functional,Integration Capabilities,The system shall provide interfaces to integrate with physical security systems to correlate physical and cyber events related to network segmentation.,On Hold,Low,37,4.4,114,191325,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Future (24+ months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Minor,Operations Team,15/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F40,System,Functional,Visualization & User Interface,The system shall provide interfaces to support augmented reality applications for visualizing network segmentation in physical spaces.,Completed,Low,89,4.8,227,25648,Defined,3,Documented and standardized,Future,Planned for future phases,0.6,Phase 3 (12-24 months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Severe,Compliance Team,16/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F41,System,Functional,"Multi-site, Multi-tenant & Geographic Distribution",The system shall support consistent segmentation policies across multi-cloud and hybrid cloud-OT environments.,Completed,Critical,70,4.7,63,435863,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),"This multi-site, multi-tenant & geographic distribution supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.",Operational risk,Compliance,Severe,Compliance Team,25/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F42,System,Functional,Testing & Simulation,The system shall provide a simulation environment to model the impact of segmentation policy changes on network performance and security.,Not Started,High,57,2.5,25,51917,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This testing & simulation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Minor,Operations Team,03/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F43,System,Functional,Compliance & Regulatory Management,The system shall support creation of regulatory sandboxes to test compliance with upcoming regulations without affecting production environments.,Completed,Medium,5,4.1,217,417215,Optimizing,5,Continuously improving,Essential,Critical for operations,1,Phase 1 (0-6 months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(d) - Maintaining security.,Security vulnerability,Security,Severe,Operations Team,23/10/2025,06/06/2025,B4: System security,B5: Resilient networks and systems,NIS Regulation 10(2)(d) - Maintaining security
SR-F44,System,Functional,Advanced Technologies,The system shall incorporate AI-driven tools to suggest optimal segmentation strategies based on network traffic patterns and security requirements.,Under Review,Medium,28,3.9,138,514107,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Future (24+ months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Moderate,Operations Team,09/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F45,System,Functional,Advanced Technologies,The system shall support use of blockchain or similar distributed ledger technology to ensure the integrity of segmentation configurations and change logs.,Under Review,Critical,53,2.7,215,241482,Defined,3,Documented and standardized,Future,Planned for future phases,0.6,Phase 2 (6-12 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Minor,Security Team,17/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF1,System,Non-Functional,Performance & Scalability,The system shall support high availability with 99.99% uptime for core segmentation functions.,Not Started,Medium,23,3.9,112,334675,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Moderate,Identity Team,05/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF2,System,Non-Functional,Performance & Scalability,The system shall introduce no more than 5ms of latency for traffic passing between network segments under normal conditions.,In Progress,Low,18,2.5,208,21308,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Phase 3 (12-24 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Significant,Security Team,12/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF3,System,Non-Functional,Performance & Scalability,"The system shall be scalable to support networks with up to 10,000 OT devices without degradation in performance.",In Progress,Medium,14,1.8,202,320316,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Moderate,Operations Team,26/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF4,System,Non-Functional,Device & Firmware Management,"The system shall be compatible with OT devices and systems from major vendors (e.g., Siemens, Rockwell, Schneider Electric).",In Progress,Low,50,4.4,230,232322,Developing,2,Some processes defined,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Minor,Operations Team,11/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF5,System,Non-Functional,Environmental & Physical Considerations,The system shall support operation in industrial environments with temperatures ranging from -20°C to 60°C.,On Hold,High,30,3.5,90,208372,Developing,2,Some processes defined,Future,Planned for future phases,0.6,Future (24+ months),This environmental & physical considerations supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Significant,Operations Team,04/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF6,System,Non-Functional,Compliance & Regulatory Management,The system shall comply with relevant cybersecurity standards including IEC 62443 and NIST SP 800-82.,Not Started,Low,50,2.9,121,329476,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Future (24+ months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance. Addresses NIS Regulation 10(1) - Appropriate standards.,Security vulnerability,Financial,Significant,Identity Team,01/03/2026,06/06/2025,A1: Governance,< - Blank | Not Applicable - >,NIS Regulation 10(1) - Appropriate standards
SR-NF7,System,Non-Functional,Identity & Authentication Integration,"The system shall support multiple authentication methods including LDAP, RADIUS, and local authentication.",Not Started,Low,51,2.7,164,158547,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 3 (12-24 months),This identity & authentication integration supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Minor,Network Team,26/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF8,System,Non-Functional,Visualization & User Interface,The system's user interface shall be responsive and load within 3 seconds on standard workstations.,Not Started,Medium,75,2.5,80,447874,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Severe,Identity Team,11/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF9,System,Non-Functional,Performance & Scalability,The system shall support concurrent access by at least 50 users without performance degradation.,On Hold,Medium,1,1.7,217,364028,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Significant,Network Team,16/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF10,System,Non-Functional,Performance & Scalability,The system shall be able to process and analyze network traffic at speeds up to 10 Gbps per segment.,On Hold,High,35,1.7,93,465605,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This performance & scalability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Minor,Security Team,20/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF11,System,Non-Functional,Visualization & User Interface,"The system shall provide a web-based interface accessible via standard browsers (Chrome, Firefox, Edge) without requiring additional software installation.",Not Started,High,14,1.9,143,182667,Defined,3,Documented and standardized,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Security,Moderate,Security Team,23/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF12,System,Non-Functional,Configuration & Change Management / Backup & Recovery,The system shall support configuration backups and provide the ability to restore from backups within 15 minutes.,In Progress,Critical,1,3.1,243,396198,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This configuration & change management / backup & recovery supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Moderate,Security Team,05/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF13,System,Non-Functional,Compliance & Regulatory Management,"The system shall be able to generate compliance reports for common standards (e.g., NERC CIP, IEC 62443) within 5 minutes.",Completed,Low,9,5,25,338819,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance. Addresses NIS Regulation 10(2)(e) - Security assessment.,Compliance gap,Compliance,Severe,Security Team,02/08/2025,06/06/2025,A1: Governance,A2: Risk management,NIS Regulation 10(2)(e) - Security assessment
SR-NF14,System,Non-Functional,Internationalisation & Localisation,"The system shall support multiple languages including English, Spanish, Chinese, and German.",Completed,Critical,26,2.1,197,421337,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This internationalisation & localisation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Minor,Operations Team,05/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF15,System,Non-Functional,Integration Capabilities,The system shall be able to integrate with existing enterprise single sign-on (SSO) solutions using SAML 2.0.,On Hold,Low,84,1.9,257,428687,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Severe,Identity Team,17/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF16,System,Non-Functional,Environmental & Physical Considerations,The system shall support operation in air-gapped environments without requiring internet connectivity.,Not Started,Critical,20,4.4,134,338632,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This environmental & physical considerations supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Moderate,Identity Team,05/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF17,System,Non-Functional,Visualisation & User Interface,The system shall provide a mobile-friendly interface for basic monitoring and alerting functions.,On Hold,High,37,1.1,138,181335,Defined,3,Documented and standardized,Future,Planned for future phases,0.6,Phase 1 (0-6 months),This visualisation & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Network Team,13/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF18,System,Non-Functional,Data Management,The system shall support IPv4 and IPv6 addressing for all network segmentation functions.,In Progress,High,23,4.2,97,275934,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This data management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Significant,Identity Team,06/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF19,System,Non-Functional,Data Management,The system shall be able to handle a minimum of 1000 events per second for logging and analysis purposes.,Completed,Low,10,2.3,252,145963,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Future (24+ months),This data management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Moderate,Network Team,17/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF20,System,Non-Functional,Data Management,"The system shall support granular data retention policies, allowing different retention periods for different types of log data.",In Progress,Critical,100,3.1,117,285106,Defined,3,Documented and standardized,Conditional,Depends on other factors,0.4,Future (24+ months),This data management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Significant,Operations Team,15/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF21,System,Non-Functional,Backup & Recovery,The system shall provide redundant components for critical segmentation functions with automatic failover within 30 seconds.,Completed,High,28,2.6,204,412005,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Future (24+ months),This backup & recovery supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Minor,Network Team,26/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF22,System,Non-Functional,Virtualization & Deployment,"The system shall support deployment in virtualized environments, including compatibility with common hypervisors (e.g., VMware, Hyper-V).",In Progress,Critical,5,4.8,122,42870,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This virtualization & deployment supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Minor,Identity Team,23/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF23,System,Non-Functional,Backup & Recovery,"The system shall support disaster recovery capabilities, including the ability to restore network segmentation configurations at an alternate site within 4 hours.",In Progress,Low,39,2.7,118,103556,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Future (24+ months),This backup & recovery supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Moderate,Identity Team,16/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF24,System,Non-Functional,Device & Firmware Management,The system shall support segmentation for legacy OT protocols that may not have built-in security features.,Not Started,Low,43,4.6,42,182381,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Minor,Network Team,24/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF25,System,Non-Functional,Integration Capabilities,"The system shall provide documented APIs and support common integration protocols (e.g., REST, SOAP) for third-party system integration.",On Hold,Low,72,2.2,109,515460,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Phase 3 (12-24 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Significant,Security Team,10/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF26,System,Non-Functional,Testing & Simulation,The system shall include tools for stress testing segmentation components to verify performance under peak load conditions.,Under Review,Critical,65,1,109,488413,Defined,3,Documented and standardized,Essential,Critical for operations,1,Phase 3 (12-24 months),This testing & simulation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Significant,Network Team,07/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF27,System,Non-Functional,Device & Firmware Management,The system's segmentation devices shall support secure boot mechanisms to ensure firmware integrity.,Not Started,Critical,81,2.8,131,214156,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Minor,Security Team,11/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF28,System,Non-Functional,Device & Firmware Management,The system shall provide mechanisms to verify the integrity and authenticity of all software and firmware updates for segmentation devices.,Under Review,Low,85,3.1,92,446817,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Significant,Compliance Team,05/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF29,System,Non-Functional,Advanced Technologies,The system shall support integration of quantum-safe cryptographic algorithms for future-proofing against quantum computing threats.,Not Started,Low,93,2.5,136,161088,Developing,2,Some processes defined,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Moderate,Compliance Team,09/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-NF30,System,Non-Functional,Sustainability & Environmental Impact,The system shall provide energy efficiency metrics and power management features for segmentation devices to support sustainability initiatives.,Not Started,Medium,19,3.2,42,28325,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Future (24+ months),This sustainability & environmental impact supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Severe,Security Team,21/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SDR-001,Infrastructure,Functional,Sensor Deployment Architecture,The system shall support a zone-based sensor deployment model with one sensor per security zone as defined in IEC 62443.,Completed,Low,38,1.2,59,273524,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 3 (12-24 months),This sensor deployment architecture supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(a) - Technical measures to prevent incidents.,Security vulnerability,Financial,Minor,Compliance Team,04/10/2025,06/06/2025,B4: System security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Technical measures to prevent incidents
SDR-002,Infrastructure,Functional,Sensor Deployment Architecture,The system shall support a conduit-based sensor deployment model with sensors placed at critical network junctions between zones.,In Progress,Low,18,1.8,224,77049,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Future (24+ months),This sensor deployment architecture supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(c) - Detection of security events.,Compliance gap,Compliance,Moderate,Network Team,24/12/2025,06/06/2025,B4: System security,C1: Security monitoring,NIS Regulation 10(2)(c) - Detection of security events
SDR-003,Infrastructure,Functional,Sensor Deployment Architecture,The system shall support a hybrid sensor deployment approach combining both zone and conduit-based models.,Not Started,Critical,26,1.9,177,49114,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 3 (12-24 months),This sensor deployment architecture supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(a) - Appropriate technical measures.,Security vulnerability,Security,Significant,Operations Team,04/01/2026,06/06/2025,B4: System security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Appropriate technical measures
SDR-004,Infrastructure,Functional,Sensor Deployment Architecture,The system shall support physical appliance deployment for OT environments.,Under Review,High,35,4.9,59,507968,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Future (24+ months),This sensor deployment architecture supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Moderate,Identity Team,15/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SDR-005,Infrastructure,Functional,Sensor Deployment Architecture,The system shall support virtual sensor deployment compatible with industrial hypervisors.,On Hold,High,21,1.5,85,466579,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Future (24+ months),This sensor deployment architecture supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(d) - Maintaining security through lifecycles.,Security vulnerability,Financial,Moderate,Network Team,20/11/2025,06/06/2025,B4: System security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(d) - Maintaining security through lifecycles
SDR-006,Infrastructure,Functional,Sensor Deployment Architecture,The system shall support deployment at Purdue Model Level 3 (site operations).,Completed,Medium,99,3.3,109,329061,Developing,2,Some processes defined,Future,Planned for future phases,0.6,Phase 2 (6-12 months),This sensor deployment architecture supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Minor,Network Team,04/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SDR-007,Infrastructure,Functional,Sensor Deployment Architecture,The system shall support deployment at Purdue Model Level 3.5 (DMZ).,Under Review,Critical,61,2.4,85,213066,Developing,2,Some processes defined,Essential,Critical for operations,1,Phase 2 (6-12 months),This sensor deployment architecture supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Severe,Security Team,21/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
